Sport,Event,Place,Dates
Cricket,ICC U19 Men’s Cricket World Cup 2026,Zimbabwe & Namibia,15 Jan – 6 Feb 2026
Cricket,ICC Men’s T20 World Cup 2026,India & Sri Lanka,7 Feb – 8 Mar 2026
Cricket,WPL 2026 (Women’s Premier League),India,Mar 2026 (expected)
Cricket,Indian Premier League (IPL) 2026,India,Mar – May 2026
Cricket,ICC Women’s T20 World Cup 2026,England & Wales,12 Jun – 5 Jul 2026
Football,English Premier League 2025–26 Season,England,Aug 2025 – May 2026
Football,La Liga 2025–26 Season,Spain,Aug 2025 – May 2026
Football,Bundesliga 2025–26 Season,Germany,Aug 2025 – May 2026
Football,UEFA Champions League Final 2026,"Budapest, Hungary",30 May 2026
Football,FIFA World Cup 2026,USA / Canada / Mexico,11 Jun – 19 Jul 2026
Tennis,Australian Open 2026,"Melbourne, Australia",Jan 2026
Tennis,Roland Garros 2026,"Paris, France",24 May – 7 Jun 2026
Tennis,Wimbledon 2026,"London, UK",29 Jun – 12 Jul 2026
Tennis,US Open 2026,"New York, USA",31 Aug – 13 Sep 2026
Tennis,ATP Finals 2026,"Turin, Italy",15 – 22 Nov 2026
Formula 1,Monaco Grand Prix 2026,Monaco,5 – 7 Jun 2026
Formula 1,British Grand Prix 2026,"Silverstone, UK",3 – 5 Jul 2026
Formula 1,Azerbaijan Grand Prix 2026,"Baku, Azerbaijan",24 – 26 Sep 2026
Formula 1,Singapore Grand Prix 2026,Singapore,9 – 11 Oct 2026
Formula 1,Abu Dhabi Grand Prix 2026,"Yas Marina, UAE",4 – 6 Dec 2026
