MARQUEE SPORTS (HOME PAGE),,,
EVENTS,VENUE/PLACE,MONTH,TYPE
ICC Men's T20 World Cup,India & Sri Lanka,Feb - Mar 2026,Sports
IPL 2026 - Season 19,India,Mar - May 2026,Sports
FIFA World Cup 2026,"USA, Canada, Mexico",Jun - Jul 2026,Sports
Wimbledon,"London, UK",Jun - Jul 2026,Sports
Abu Dhabi GP,"Abu Dhabi, UAE",Dec 2026,Sports
MARQUEE MUSIC (HOME PAGE),,,
EVENTS,VENUE/PLACE,MONTH,TYPE
Lollapalooza India 2026 - Ft. Linkin Park,Mumbai,Jan 2026,Music
AR Rahman - Haazri,Mumbai,Jan 2026,Music
Karan Aujla,"Mumbai, Pune, Chandigarh, Indore, Bangalore",Mar 2026,Music
Calvin Harris,"Mumbai, Delhi, Bangalore",Apr 2026,Music
Tomorrowland Thailand 2026,Pattaya - Thailand,Dec 2026,Music
