SPORTS (EVENTS PAGE),,,,
EVENTS,VENUE / PLACE,MONTH,TYPE
India vs New Zealand - 3 ODIs & 5 T20s,India,Jan 2026,Cricket
WPL 2026,India,Jan - Feb 2026,Cricket
ICC Men's T20 World Cup,India & Sri Lanka,Feb - Mar 2026,Cricket
IPL 2026,India,Mar - May 2026,Cricket
India vs Afghanistan - 1 Test & 3 ODIs,India,Jun 2026,Cricket
England vs India - 3 ODIs & 5 T20s,England,Jul 2026,Cricket
English Premier League,England,Aug 2025 - May 2026,Football
La Liga,Spain,Aug 2025 - May 2026,Football
Finalissima 2026 - Spain vs Argentina,"Lusail, Qatar",Mar 2026,Football
UEFA Champions League Final,"Budapest, Hungary",May 2026,Football
FIFA World Cup 2026,"USA, Canada & Mexico",Jun - Jul 2026,Football
Australian Open,"Melbourne, Australia",Jan - Feb 2026,Tennis
Roland Garros,"Paris, France",May - Jun 2026,Tennis
Wimbledon,"London, England",Jun - Jul 2026,Tennis
US Open,"New York, USA",Aug - Sep 2026,Tennis
Monaco GP,Monaco,Jun 2026,Formula 1
British GP,"Silverstone, England",Jul 2026,Formula 1
Italian GP,"Monza, Italy",Sep 2026,Formula 1
Azerbaijan GP,"Baku, Azerbaijan",Sep 2026,Formula 1
Singapore GP,Singapore,Oct 2026,Formula 1
Abu Dhabi GP,"Abu Dhabi, UAE",Dec 2026,Formula 1
MUSIC (EVENTS PAGE),,,,
EVENTS,VENUE / PLACE,MONTH,TYPE
Lollapalooza India 2026 - Ft. Linkin Park,Mumbai,Jan 2026,Festivals
Linkin Park,Bangalore,Jan 2026,International Bands
John Mayer,Mumbai,Jan 2026,International Artists
"Haazri - Ft. AR Rahman, Sonu Nigam, Shaan, Hariharan",Mumbai,Jan 2026,Bollywood
Shreya Ghoshal,Delhi,Jan 2026,Bollywood
Lucky Ali,Mumbai,Jan 2026,Bollywood
Zomaland Season 6,"Mumbai, Pune, Delhi, Bangalore",Feb 2026,Festivals
The Lumineers,Gurgaon,Feb 2026,International Bands
DJ Snake,Mumbai,Feb 2026,Concerts
Magnetic Fields Festival,Khetri (Rajasthan),Feb 2026,Festivals
Shankar Ehsaan Loy,"Mumbai, Pune",Feb 2026,Bollywood
Karan Aujla,"Mumbai, Pune, Chandigarh, Indore, Bangalore",Mar 2026,Bollywood
Def Leppard,"Mumbai, Bangalore, Shillong",Mar 2026,International Bands
Sonu Nigam,Mumbai,Mar 2026,Bollywood
Calvin Harris,"Mumbai, Delhi, Bangalore",Apr 2026,International Artists
Coachella 2026 Ft. Justin Bieber,Indio - USA,Apr 2026,Festivals
Tomorrowland Belgium 2026,Boom - Belgium,Jul 2026,Festivals
Ziro Festival,Ziro Valley (Arunachal Pradesh),Sep 2026,Festivals
The Weeknd,"Mumbai, Delhi, Ahmedabad",Oct 2026,International Bands
Rolling Loud,Mumbai,Nov 2026,Festivals
Hornbill Festival,Kohima (Nagaland),Dec 2026,Festivals
Tomorrowland Thailand 2026,Pattaya - Thailand,Dec 2026,Festivals
